filename,sub_id,snapshot,view,Name,Name_ext,snapshot_n,SubfindID,c_axis,b_axis,a_axis,Name_joined,snapshot_joined,subhalo_id,view_joined,stellar_mass,re_kpc,sample_manga,manga_ifu_dsn,distances_selec,n_star_part,n_gas_cell,type,c/a,c/b,b/a,c_a,b_a
TNG50-96-494860-0-127.cube_maps.fits,494860,96,0,96_494860,96_494860_0,96,494860,1.1710979,1.5728577,1.6172268,96_494860,96,494860,0,10.026925,3.6940906,0,37,0.05367781,189746,39258,1,0.7241395579148205,0.7445669751306809,0.9725647015001234,0.7241395579148205,0.9725647015001234
TNG50-90-388525-0-127.cube_maps.fits,388525,90,0,90_388525,90_388525_0,90,388525,3.196306,7.8420887,8.137223,90_388525,90,388525,0,11.059328,15.316567,0,91,0.20143463,1998035,1269580,1,0.3928005905700261,0.4075835051444904,0.9637303414199168,0.39280059057002614,0.9637303414199168
TNG50-95-181062-0-127.cube_maps.fits,181062,95,0,95_181062,95_181062_0,95,181062,0.43354756,0.5272681,1.1056597,95_181062,95,181062,0,9.91342,2.0572762,2,19,0.0438323,153689,0,3,0.3921166340782793,0.8222525883890947,0.4768809969288019,0.3921166340782793,0.4768809969288019
TNG50-96-419485-0-127.cube_maps.fits,419485,96,0,96_419485,96_419485_0,96,419485,0.4546491,0.62503695,0.690184,96_419485,96,419485,0,9.313435,1.6480727,0,127,0.042991582,36951,0,1,0.6587360761767875,0.7273955563747071,0.9056091563988734,0.6587360761767875,0.9056091563988734
TNG50-92-411992-1-127.cube_maps.fits,411992,92,1,92_411992,92_411992_1,92,411992,1.2670959,2.4326663,2.7666955,92_411992,92,411992,1,10.895294,5.5501404,2,61,0.21318091,1536327,182291,-1,0.4579816969377367,0.5208671242742993,0.8792678124499065,0.4579816969377367,0.8792678124499065
TNG50-93-363554-0-127.cube_maps.fits,363554,93,0,93_363554,93_363554_0,93,363554,4.758163,5.928835,6.837536,93_363554,93,363554,0,11.140377,15.349297,1,127,0.08309689,2699442,3647687,-1,0.6958885481553588,0.8025460313872792,0.8671011019174159,0.6958885481553588,0.8671011019174159
TNG50-88-335275-0-127.cube_maps.fits,335275,88,0,88_335275,88_335275_0,88,335275,2.9376855,5.305958,5.5061502,88_335275,88,335275,0,11.394778,12.15652,0,91,0.92496204,4961358,2968395,1,0.5335280356137033,0.5536578879817744,0.9636420742754166,0.5335280356137033,0.9636420742754166
TNG50-97-672583-0-127.cube_maps.fits,672583,97,0,97_672583,97_672583_0,97,672583,0.49938643,0.8792929,0.89188933,97_672583,97,672583,0,9.515311,2.0385718,0,37,0.021306261,56979,124817,1,0.5599197268118455,0.5679409329928627,0.9858766894318604,0.5599197268118455,0.9858766894318604
TNG50-97-643724-2-127.cube_maps.fits,643724,97,2,97_643724,97_643724_2,97,643724,0.5999586,0.84411466,0.85341895,97_643724,97,643724,2,9.729632,2.140138,1,61,0.040067974,98450,207067,1,0.7030059503600196,0.7107548635632036,0.9890976290132766,0.7030059503600196,0.9890976290132766
TNG50-90-419200-0-127.cube_maps.fits,419200,90,0,90_419200,90_419200_0,90,419200,1.0218698,2.9896219,2.9946003,90_419200,90,419200,0,11.091794,5.0450387,2,37,0.5038312,2210387,677362,1,0.3412374599708682,0.3418056979044741,0.9983375410735116,0.3412374599708682,0.9983375410735115
TNG50-97-66797-0-127.cube_maps.fits,66797,97,0,97_66797,97_66797_0,97,66797,1.2671382,2.2555037,2.297922,97_66797,97,66797,0,9.358791,5.0305567,1,127,0.033194367,41005,0,1,0.5514278552535726,0.5617983246935042,0.981540583187767,0.5514278552535726,0.981540583187767
TNG50-96-205351-0-127.cube_maps.fits,205351,96,0,96_205351,96_205351_0,96,205351,0.7013936,1.1181799,1.1571648,96_205351,96,205351,0,9.247241,2.6158316,2,61,0.14882275,30994,2526,1,0.6061311232419098,0.6272636451433262,0.9663099845415276,0.6061311232419098,0.9663099845415275
TNG50-89-476990-0-127.cube_maps.fits,476990,89,0,89_476990,89_476990_0,89,476990,1.0119896,3.4700227,3.5148654,89_476990,89,476990,0,10.871836,6.657622,2,61,0.67005366,1309311,337291,1,0.2879170280603063,0.2916377463467314,0.987241986563696,0.28791702806030633,0.987241986563696
